"Datenmodell","Kategorie","Tabellenname","Datenfeldname","Datenfeldbezeichnung","Beschreibung","Anmerkung","Datentyp","Anzahl Stellen","Muss / Kann","NULL-/ NA-Werte","Min","Max","Ausprägungen","Verfügbare BJ","DM 1","DM 2","DM 3","BJ 2009","BJ 2010","BJ 2011","BJ 2012","BJ 2013","BJ 2014","BJ 2015","BJ 2016","BJ 2017","BJ 2018","BJ 2019","BJ 2020","BJ 2021","BJ 2022"
"DM1+2","Versicherte","SA151","SA151_VERSICHERTENTAGEKG","Versichertentage mit Krankengeld","Versichertentage mit allgemeinem Anspruch auf Krankengeld gemäß § 30 Abs. 1 Nr. 11 RSAV (s. Erläuterungen)","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_SATZART","Satzart","konstant 152","","numerisch","3","M","FALSE","","","152","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_BERICHTSJAHR","Berichtsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","9","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_KV_NR_KENNZEICHEN","Krankenversicherungsnummer (KV)","bundeseinheitliche KV-Nr lag vor = 1; sonst = 0","","numerisch","1","M","FALSE","0","1","bundeseinheitliche KV-Nr lag vor = 1; 
  sonst = 0","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_ERWERBSMINDERUNGS_VT","Erwerbsminderungsversichertentage","Erwerbsminderungsrente Versichertentage im Berichtsjahr","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_VERSICHERTENTAGEAUSLAND","Versichertentage Ausland","Versichertentage mit Wohnsitz oder gewöhnlichem Aufenthalt im Ausland gemäß§ 30 Abs. 1 Nr.8 RSAV","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_VERSICHERTENTAGE13II","Versichertentage mit Kostenerstattung","Versichertentage mit Kostenerstattung nach § 13 Abs. 2 SGB V im Bereich der vertragsärztlichen Versorgung gem. § 30 Abs. 1 Nr. 9 RSAV","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA152","SA152_VERSICHERTENTAGE53IV","Versichertentage mit Kostenerstattung","Versichertentage mit Kostenerstattung nach § 53 Abs. 4 SGB V","","numerisch","3","M","FALSE","0","400","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_SATZART","Satzart","konstant 153","","numerisch","3","M","FALSE","","","153","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_BERICHTSJAHR","Berichtsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","9","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_KV_NR_KENNZEICHEN","Krankenversicherungsnummer (KV)","bundeseinheitliche KV-Nr. lag vor = 1;sonst = 0","","numerisch","1","M","FALSE","0","1","bundeseinheitliche KV-Nr lag vor = 1; 
  sonst = 0","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Versicherte","SA153","SA153_EXTRABLUTREINIGUNG","Extrakorporale Blutreinigung","1 = mindestens eine extrakorporale Blutreinigung erbracht 0 = sonst","","numerisch","1","M","FALSE","0","1","1 = mindestens eine extrakorporale Blutreinigung erbracht; sonst = 0","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_SATZART","Satzart","konstant 451","","numerisch","3","M","FALSE","","","451","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_BERICHTSJAHR","Berichtsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","9","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_VERORDNUNGSDATUM","Verordnungsdatum","JJJJMMTT","","numerisch","8","K","TRUE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_PHARMAZENTRALNUMMER","Pharmazentralnummer","Kennzeichen nach §300 Abs. 3 SGB V","","numerisch","8","K","TRUE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Arzneimittel","SA451","SA451_ANZAHLEINHEITENFAKTOR","Anzahleinheitenfaktor","Angabe in Promille","","numerisch","9","K","TRUE","1","999999999","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_SATZART","Satzart","konstant 551","","numerisch","3","M","FALSE","","","551","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_BERICHTSJAHR","Berichtsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","9","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_ENTLASSUNGSMONAT","Entlassungsmonat","JJJJMM","","numerisch","6","K","TRUE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_FALLZAEHLER","Fallzähler","","","numerisch","2","K","TRUE","1","50","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_ICD_CODE","stationäre Diagnose","ICD 10 GM Code ohne Punktnotation und Sonderzeichen","","Varchar2","7","K","TRUE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_ICD_ZUSATZ","stationäre Diagnose Sonderzeichen","ICD Sonderzeichen","","Char","1","K","TRUE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_LOKALISATION","Lokalisation","1 = beidseitig | 0 = sonst","","numerisch","1","K","TRUE","0","1","1 = beidseitig;
  0 = sonst","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_ARTDIAGNOSE","Art der Diagnose","1 = Hauptdiagnose |2 = Nebendiagnose","","numerisch","1","K","TRUE","1","2","1 = Hauptdiagnose;
  2 = Nebendiagnose","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Voll-/Teilstationäre Fälle","SA551","SA551_ARTBEHANDLUNG","Art der Behandlung","1 = vollstationär | 2 = teilstationär3 = ambulante OP im KH | 0 = sonst (vor-und nachstationär)","","numerisch","1","K","TRUE","0","3","1 = vollstationär ;
  2 = teilstationär;
  3 = ambulante OP im KH; 
  0 = sonst (vor- und nachstationär)","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_SATZART","Satzart","konstant 651","","numerisch","3","M","FALSE","","","651","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_AUSGLEICHSJAHR","Ausgleichsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_BERICHTSJAHR","Berichtsjahr","JJJJ","","numerisch","4","M","FALSE","1900","2500","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_VSID","Einjähriges Pseudonym","Versicherten-ID zum Ausgleichjahr bzw. Berichtjahr (Pseudonym). Dient zur Verknüpfung zwischen Tabellen innerhalb eines Berichtsjahres.","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","numerisch","4","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_PSID","Überjähriges Pseudonym","Überjährige Versicherten-ID (Pseudonym) zur Verknüpfung gleicher Personen zwischen Tabellen (ein- und überjährig).","Im Allgemeinen hat eine natürliche Person (PSID) innerhalb eines Berichtsjahres nur eine VSID. Mehrere VSID existieren nur, wenn diese Person innerhalb des Jahres die Versicherung gewechselt hat.","VarBinary(32); alt: CHAR(19)","32","M","FALSE","","","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"DM1+2","Ambulante Fälle","SA651","SA651_LEISTUNGSQUARTAL","Leistungsquartal","Quartal 1 bis 4","","numerisch","1","K","TRUE","1","4","","2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
